Match Number,Round Number,Date,Location,Home Team,Away Team,Result
86,10,02/11/2026 20:15,Estádio Cidade de Barcelos,Gil Vicente FC,Vitória SC,
90,10,02/11/2026 20:15,Estádio do Sport Lisboa e Benfica,SL Benfica,FC Alverca,
94,11,06/11/2026 20:45,Estádio Municipal de Famalicão,FC Famalicão,FC Arouca,
95,11,07/11/2026 15:30,Estádio da Madeira,CD Nacional,Académico,
91,11,07/11/2026 18:00,Estádio do FC Alverca,FC Alverca,Casa Pia AC,
98,11,07/11/2026 20:30,Estádio José Alvalade,Sporting CP,Moreirense FC,
93,11,08/11/2026 15:30,Estádio António Coimbra da Mota,Estoril Praia,Marítimo M.,
97,11,08/11/2026 15:30,Estádio de São Miguel,Santa Clara,Gil Vicente FC,
99,11,08/11/2026 18:00,Estádio D. Afonso Henriques,Vitória SC,FC Porto,
92,11,08/11/2026 20:30,Estádio José Gomes,Estrela Amadora,SL Benfica,
96,11,08/11/2026 20:30,Estádio do Rio Ave Futebol Clube,Rio Ave FC,SC Braga,
104,12,27/11/2026 20:15,Estádio do Marítimo,Marítimo M.,CD Nacional,
101,12,28/11/2026 15:30,Estádio Municipal de Arouca,FC Arouca,Rio Ave FC,
105,12,28/11/2026 15:30,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Santa Clara,
100,12,28/11/2026 18:00,Estádio Municipal do Fontelo,Académico,FC Alverca,
108,12,28/11/2026 20:30,Estádio D. Afonso Henriques,Vitória SC,Estrela Amadora,
103,12,29/11/2026 18:00,Estádio Cidade de Barcelos,Gil Vicente FC,Estoril Praia,
106,12,29/11/2026 20:30,Estádio do Dragão,FC Porto,Sporting CP,
102,12,30/11/2026 20:15,Estádio Municipal de Rio Maior,Casa Pia AC,SC Braga,
107,12,30/11/2026 20:15,Estádio do Sport Lisboa e Benfica,SL Benfica,FC Famalicão,
109,13,06/12/2026 00:00,Estádio do FC Alverca,FC Alverca,Moreirense FC,
110,13,06/12/2026 00:00,Estádio José Gomes,Estrela Amadora,Gil Vicente FC,
111,13,06/12/2026 00:00,Estádio Municipal de Braga,SC Braga,FC Arouca,
112,13,06/12/2026 00:00,Estádio António Coimbra da Mota,Estoril Praia,Vitória SC,
113,13,06/12/2026 00:00,Estádio Municipal de Famalicão,FC Famalicão,Académico,
114,13,06/12/2026 00:00,Estádio da Madeira,CD Nacional,SL Benfica,
115,13,06/12/2026 00:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Casa Pia AC,
116,13,06/12/2026 00:00,Estádio de São Miguel,Santa Clara,FC Porto,
117,13,06/12/2026 00:00,Estádio José Alvalade,Sporting CP,Marítimo M.,
118,14,13/12/2026 00:00,Estádio Municipal do Fontelo,Académico,FC Arouca,
119,14,13/12/2026 00:00,Estádio Municipal de Rio Maior,Casa Pia AC,CD Nacional,
120,14,13/12/2026 00:00,Estádio António Coimbra da Mota,Estoril Praia,Santa Clara,
121,14,13/12/2026 00:00,Estádio Cidade de Barcelos,Gil Vicente FC,Sporting CP,
122,14,13/12/2026 00:00,Estádio do Marítimo,Marítimo M.,Rio Ave FC,
123,14,13/12/2026 00:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,FC Famalicão,
